Time,    0-1000 us
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.25 K
12/13/2023 12:46,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.19 K
12/13/2023 12:47,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,3.88 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,5.37 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:50,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.06 K
12/13/2023 12:51,6.06 K
12/13/2023 12:51,6.06 K
12/13/2023 12:51,6.06 K
12/13/2023 12:51,6.06 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.15 K
12/13/2023 12:51,6.15 K
12/13/2023 12:51,6.15 K
12/13/2023 12:51,6.15 K
12/13/2023 12:51,6.15 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.19 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.20 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.21 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.18 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:51,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.18 K
12/13/2023 12:52,6.18 K
12/13/2023 12:52,6.18 K
12/13/2023 12:52,6.18 K
12/13/2023 12:52,6.18 K
12/13/2023 12:52,6.19 K
12/13/2023 12:52,6.19 K
12/13/2023 12:52,6.19 K
12/13/2023 12:52,6.19 K
12/13/2023 12:52,6.19 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,6.22 K
12/13/2023 12:52,5.05 K
12/13/2023 12:52,5.05 K
12/13/2023 12:52,5.05 K
12/13/2023 12:52,5.05 K
12/13/2023 12:52,5.05 K
12/13/2023 12:52,5.30 K
12/13/2023 12:52,5.30 K
12/13/2023 12:52,5.30 K
12/13/2023 12:52,5.30 K
12/13/2023 12:52,5.30 K
12/13/2023 12:52,5.40 K
12/13/2023 12:52,5.40 K
12/13/2023 12:52,5.40 K
12/13/2023 12:52,5.40 K
12/13/2023 12:52,5.40 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.26 K
12/13/2023 12:52,5.26 K
12/13/2023 12:52,5.26 K
12/13/2023 12:52,5.26 K
12/13/2023 12:52,5.26 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.37 K
12/13/2023 12:52,5.53 K
12/13/2023 12:52,5.53 K
12/13/2023 12:52,5.53 K
12/13/2023 12:52,5.53 K
12/13/2023 12:52,5.53 K
12/13/2023 12:52,4.40 K
12/13/2023 12:52,4.40 K
12/13/2023 12:52,4.40 K
12/13/2023 12:52,4.40 K
12/13/2023 12:52,4.40 K
12/13/2023 12:52,3.44 K
12/13/2023 12:52,3.44 K
12/13/2023 12:53,3.44 K
12/13/2023 12:53,3.44 K
12/13/2023 12:53,3.44 K
12/13/2023 12:53,3.01 K
12/13/2023 12:53,3.01 K
12/13/2023 12:53,3.01 K
12/13/2023 12:53,3.01 K
12/13/2023 12:53,3.01 K
12/13/2023 12:53,3.38 K
12/13/2023 12:53,3.38 K
12/13/2023 12:53,3.38 K
12/13/2023 12:53,3.38 K
12/13/2023 12:53,3.38 K
12/13/2023 12:53,5.59 K
12/13/2023 12:53,5.59 K
12/13/2023 12:53,5.59 K
12/13/2023 12:53,5.59 K
12/13/2023 12:53,5.59 K
12/13/2023 12:53,4.80 K
12/13/2023 12:53,4.80 K
12/13/2023 12:53,4.80 K
12/13/2023 12:53,4.80 K
12/13/2023 12:53,4.80 K
12/13/2023 12:53,2.54 K
12/13/2023 12:53,2.54 K
12/13/2023 12:53,2.54 K
12/13/2023 12:53,2.54 K
12/13/2023 12:53,2.54 K
12/13/2023 12:53,4.48 K
12/13/2023 12:53,4.48 K
12/13/2023 12:53,4.48 K
12/13/2023 12:53,4.48 K
12/13/2023 12:53,4.48 K
12/13/2023 12:53,4.68 K
12/13/2023 12:53,4.68 K
12/13/2023 12:53,4.68 K
12/13/2023 12:53,4.68 K
12/13/2023 12:53,4.68 K
12/13/2023 12:53,4.74 K
12/13/2023 12:53,4.74 K
12/13/2023 12:53,4.74 K
12/13/2023 12:53,4.74 K
12/13/2023 12:53,4.74 K
12/13/2023 12:53,5.55 K
12/13/2023 12:53,5.55 K
12/13/2023 12:53,5.55 K
12/13/2023 12:53,5.55 K
12/13/2023 12:53,5.55 K
12/13/2023 12:53,5.38 K
12/13/2023 12:53,5.38 K
12/13/2023 12:53,5.38 K
12/13/2023 12:53,5.38 K
12/13/2023 12:53,5.38 K
12/13/2023 12:53,5.28 K
12/13/2023 12:53,5.28 K
12/13/2023 12:53,5.28 K
12/13/2023 12:53,5.28 K
12/13/2023 12:53,5.28 K
12/13/2023 12:53,3.28 K
12/13/2023 12:53,3.28 K
12/13/2023 12:54,3.28 K
12/13/2023 12:54,3.28 K
12/13/2023 12:54,3.28 K
12/13/2023 12:54,2.76 K
12/13/2023 12:54,2.76 K
12/13/2023 12:54,2.76 K
12/13/2023 12:54,2.76 K
12/13/2023 12:54,2.76 K
12/13/2023 12:54,2.83 K
12/13/2023 12:54,2.83 K
12/13/2023 12:54,2.83 K
12/13/2023 12:54,2.83 K
12/13/2023 12:54,2.83 K
12/13/2023 12:54,3.40 K
12/13/2023 12:54,3.40 K
12/13/2023 12:54,3.40 K
12/13/2023 12:54,3.40 K
12/13/2023 12:54,2.41 K
12/13/2023 12:54,6.11 K
12/13/2023 12:54,6.11 K
12/13/2023 12:54,6.11 K
12/13/2023 12:54,6.11 K
12/13/2023 12:54,6.11 K
12/13/2023 12:54,3.06 K
12/13/2023 12:54,3.06 K
12/13/2023 12:54,3.06 K
12/13/2023 12:54,3.06 K
12/13/2023 12:54,3.06 K
12/13/2023 12:54,3.65 K
12/13/2023 12:54,3.65 K
12/13/2023 12:54,3.65 K
12/13/2023 12:54,3.65 K
12/13/2023 12:54,3.65 K
12/13/2023 12:54,4.86 K
12/13/2023 12:54,4.86 K
12/13/2023 12:54,4.86 K
12/13/2023 12:54,4.86 K
12/13/2023 12:54,4.86 K
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.72 K
12/13/2023 12:54,5.72 K
12/13/2023 12:55,5.72 K
12/13/2023 12:55,5.72 K
12/13/2023 12:55,3.02 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,3.89 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,1.63 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,3.82 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,3.82 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.58 K
12/13/2023 12:55,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
